X,Y,OBJECTID,ACCPRKID,STREET_NAME,FROM_STR,TO_STR,NUMSPOTS,DURATION,QUALIFIER,STATUS,COMMENTS,DIRECTION,ADJSURFMAT,OBSTRUCT,LOC_HILL,ADDDATE,MODDATE,SDATE,SOURCE,SACC,WINT_PLOW,WINT_MAINT,WINT_ROUTE,WINT_LOS,WINT_MAT,WINT_COMM,WINT_ADDBY,WINT_ADDDATE,WINT_MODBY,WINT_MODDATE
-63.57696883,44.64327923,74815,AP250,BIRMINGHAM ST,SPRING GARDEN RD,ARTILLERY PL,2,HR3,,INS,,N,CONCRETE,Y,Y,2021/02/10 19:44:23+00,2021/02/10 19:54:59+00,,,,,,,,,,,,,
-63.58229833,44.63948477,74816,AP273,SUMMER ST,UNIVERSITY AVE,COLLEGE ST,1,HR3,,INS,,NW,GRASS,N,N,2021/05/21 17:24:20+00,2021/05/21 18:03:36+00,2021/05/14 03:00:00+00,Traffic Services,IN,Y,HRM1,R4,,,ACCESSIBLE PARKING - HR3 - SPOT(S) = 1,,,,
-63.54462299,44.66570662,74818,AP71,HASTINGS DR,PRINCE ARTHUR AVE,CLEMENT ST,2,,1,INS,,SE,CONGRAS,N,N,2019/10/16 20:03:18+00,2020/11/26 02:17:53+00,2019/09/30 03:00:00+00,Traffic Services,IN,Y,SWZ8,,PRI2,,ACCESSIBLE PARKING - SPOT(S) = 2,,,,
-63.58710466,44.6534636,74819,AP229,CREIGHTON ST,BUDDY DAYE ST,CUNARD ST,1,NTR,,INS,,S,GRASS,N,N,2020/03/05 19:07:20+00,2020/11/26 02:17:58+00,2019/03/04 03:59:59+00,Traffic Services,IN,Y,HRM1,R6,PRI2,,,,,,
-63.59391571,44.65360147,74820,AP232,ROBIE ST,CHARLES ST,WILLOW ST,2,,1,INS,,N,CONCRETE,N,N,2020/05/25 17:58:21+00,2020/11/26 02:17:55+00,2020/05/25 03:00:00+00,Traffic Services,IN,Y,SWZ6,RB,PRI2,,,,,,
-63.56940847,44.64021381,74821,AP233,SOUTH ST,HOLLIS ST,BARRINGTON ST,1,NTR,,INS,,E,CONGRAS,N,N,2020/09/22 16:34:23+00,2020/11/26 02:17:58+00,2020/09/21 03:00:00+00,,IN,Y,HRM1,R2,PRI2,,,,,,
-63.57254617,44.6350391,74824,AP246,SOUTH BLAND ST,ATLANTIC ST,INGLIS ST,1,,1,INS,,S,GRASS,N,N,2020/11/07 00:10:30+00,2020/11/26 02:17:56+00,2020/11/06 03:59:59+00,Traffic Services,IN,Y,SWZ5,,PRI2,,,,,,
-63.57480368,44.64717971,74825,AP243,ARGYLE ST,CARMICHAEL ST,PRINCE ST,1,HR3,,INS,,S,CONCRETE,Y,N,2020/10/05 17:13:17+00,2020/11/26 02:17:58+00,2020/10/05 03:00:00+00,Traffic Services,IN,Y,HRM1,R1,PRI2,,,,,,
-63.57391052,44.64505607,74826,AP257,BLOWERS ST,GRAFTON ST,ARGYLE ST,1,HR3,,INS,,SE,CONCRETE,N,Y,2021/03/12 17:01:03+00,2021/03/12 17:07:07+00,2021/03/10 03:59:59+00,Traffic Services,IN,,,,,,,,,,
-63.58362262,44.65264563,74828,AP97,CORNWALLIS ST,MAITLAND ST,GOTTINGEN ST,3,NTR,1,INS,,SW,CONCRETE,N,Y,2019/10/17 20:24:43+00,2021/02/25 23:08:09+00,2019/09/30 03:00:00+00,Traffic Services,IN,Y,SWZ6,RB,PRI2,,ACCESSIBLE PARKING - HR3 - SPOT(S) = 3,,,,
-63.5850825,44.63843323,74829,AP136,UNIVERSITY AVE,SUMMER ST,ROBIE ST,3,HR3,,INS,,W,GRASS,N,N,2019/10/18 16:58:20+00,2020/11/26 02:17:58+00,2019/09/30 03:00:00+00,Traffic Services,IN,Y,HRM1,R4,PRI2,,ACCESSIBLE PARKING - HR3 - SPOT(S) = 3,,,,
-63.59838974,44.64367407,74830,AP202,SELDON ST,NORWOOD ST,PEPPERELL ST,1,,1,INS,,N,GRASS,Y,N,2019/10/18 16:58:20+00,2020/11/26 02:17:55+00,2019/09/30 03:00:00+00,Traffic Services,IN,Y,SWZ5,,PRI2,,ACCESSIBLE PARKING - SPOT(S) = 1,,,,
-63.574189,44.64875112,74831,AP154,GRANVILLE ST,DUKE ST,GEORGE ST,1,HR2,,INS,,N,CONCRETE,Y,N,2019/10/18 16:58:20+00,2020/11/26 02:17:58+00,2019/09/30 03:00:00+00,Traffic Services,IN,Y,HRM1,R1,PRI2,,ACCESSIBLE PARKING - HR2 - SPOT(S) = 1,,,,
-63.58745293,44.63989729,74832,AP93,COBURG RD,EDWARD ST,ROBIE ST,1,NTR,1,INS,,E,CONCRETE,Y,N,2019/10/17 19:25:45+00,2020/11/26 02:17:55+00,2019/09/30 03:00:00+00,Traffic Services,IN,Y,SWZ5,,PRI2,,ACCESSIBLE PARKING - SPOT(S) = 1,,,,
